date,metric,avg,total,count
2022-07-23,Steps,137.2,4802.0,35
2022-07-24,Sleep,,0.0,8
2022-07-24,Steps,175.9189189189189,6509.0,37
2022-07-25,Sleep,,0.0,3
2022-07-25,Steps,70.4,1760.0,25
2022-07-26,Sleep,,0.0,2
2022-07-26,Steps,146.93023255813952,6318.0,43
2022-07-27,Sleep,,0.0,3
2022-07-27,Steps,60.375,1449.0,24
2022-07-28,Sleep,,0.0,5
2022-07-28,Steps,178.84615384615384,6975.0,39
2022-07-29,Sleep,,0.0,3
2022-07-29,Steps,129.23684210526315,4911.0,38
2022-07-30,Sleep,,0.0,4
